word	types	reference
das		[]
fröliche		[]
hertzerfreuliche		[]
und		[]
gottlobschallende		[]
halleluja		[]
welches		[]
bey		[]
christlicher		[]
einweyhung		[]
des		[]
schönen		[]
neu		[]
erbaueten		[]
orgelwercks		[]
in		[]
dem		[]
zuvor		[]
anno		[]
1644		[]
außgebrandtem		[]
und		[]
verwüstetem		[]
numehr		[]
aber		[]
durch		[]
die		[]
gnade		[]
gottes		[]
wieder		[]
schön		[]
außgebauetem		[]
und		[]
geziertem		[]
gotteshause		[]
zu		[]
luckau		[]
in		[]
der		[]
haubtstadt		[]
im		[]
marggraffthum		[]
niederlausitz		[]
den		[]
6		[]
januarii		[]
festo		[]
epiphaniorum		[]
anno		[]
1674		[]
dem		[]
höchsten		[]
gott		[]
zu		[]
ehren		[]
angestimmet		[]
und		[]
auffgesetzet		[]
hat		[]
m		[]
david		[]
grafunder		[]
oberpfarrer		[]
und		[]
in-		[]
spector		[]
zu		[]
luckau		[]
wie		[]
auch		[]
des		[]
fürstl		[]
sächs		[]
consistorii		[]
zu		[]
lübben		[]
assessor		[]
wittenberg		[]
gedruckt		[]
bey		[]
matthaeus		[]
henckeln		[]
univers		[]
buchdr		[]
im		[]
jahr		[]
1675		[]
sancrosanctissimae		[]
omnipotentissimae		[]
misericordissimae		[]
benedicendissimae		[]
in		[]
omnem		[]
aeternitatem		[]
trinitati		[]
&amp		[]
unitati		[]
deo		[]
patri		[]
creatori		[]
ac		[]
conservatori		[]
coeli		[]
&amp		[]
terrae		[]
jesu		[]
christo		[]
redemptori		[]
ac		[]
mediatori		[]
&amp		[]
deo		[]
spiritui		[]
sancto		[]
sanctificatori		[]
meo		[]
unico		[]
ego		[]
per		[]
&amp		[]
propter		[]
peccatorum		[]
numerum		[]
aerumnosissima		[]
sed		[]
per		[]
pretiosissimum		[]
sangvinem		[]
jesu		[]
christi		[]
saluti		[]
restituta		[]
creatura		[]
ab		[]
eo		[]
solo		[]
oriundas		[]
has		[]
ministerii		[]
mei		[]
primicias		[]
hanc		[]
opellam		[]
per		[]
gratiam		[]
ejus		[]
meam		[]
meque		[]
totum		[]
animo		[]
humillimo		[]
&amp		[]
ardentibus		[]
suspiriis		[]
ac		[]
supplicibus		[]
votis		[]
offero		[]
dico		[]
consecro		[]
david		[]
grafunder		[]
denen		[]
woledlen		[]
großachtbahren		[]
hoch		[]
und		[]
wolgelahrten		[]
hoch		[]
und		[]
wolweisen		[]
herren		[]
bürgermeistern		[]
syndico		[]
und		[]
rathmannen		[]
der		[]
hauptstadt		[]
luckau		[]
im		[]
marggraffthum		[]
niederlausitz		[]
herrn		[]
ernst		[]
mjchael		[]
hettenbachen		[]
regierenden		[]
bürgermeister		[]
herrn		[]
chrjstoph		[]
andreae		[]
richtern		[]
j		[]
u		[]
licentiato		[]
bürgermeistern		[]
und		[]
syndico		[]
herrn		[]
valentjnen		[]
exsen		[]
bürgermeister		[]
und		[]
landesaeltesten		[]
herrn		[]
balthasar		[]
adam		[]
stadtrichtern		[]
herrn		[]
johan		[]
frjedrjch		[]
exsen		[]
rathsverwandten		[]
fürstl		[]
sächs		[]
zollbiersteuerund		[]
contribution		[]
einnehmern		[]
herrn		[]
ernst		[]
meuseln		[]
rathsverwandten		[]
und		[]
handelsmann		[]
herrn		[]
johan		[]
caspar		[]
altman		[]
rathsverwandten		[]
und		[]
apotheckern		[]
herrn		[]
johan		[]
hejnrjch		[]
exsen		[]
stadtschreibern		[]
wie		[]
auch		[]
denen		[]
ehrenvesten		[]
vorachtbahren		[]
und		[]
wolbenambten		[]
herrn		[]
beysitzern		[]
des		[]
stadtgerichts		[]
herrn		[]
christoph		[]
trautnern		[]
herrn		[]
christian		[]
rudelio		[]
seiffensiedern		[]
herrn		[]
johann		[]
heigeln		[]
jngleichen		[]
denen		[]
ehrbahren		[]
und		[]
wolbenambten		[]
verordneten		[]
viertelund		[]
gewercksmeistern		[]
und		[]
gantzen		[]
löbl		[]
bürgerschafft		[]
der		[]
stadt		[]
luckau		[]
seinen		[]
respectivè		[]
hochgeehrten		[]
herrn		[]
patronis		[]
großgünstigen		[]
freunden		[]
und		[]
hertzgeliebten		[]
anvertraueten		[]
zuhörern		[]
übergiebet		[]
zum		[]
ewigen		[]
gedächtnis		[]
mit		[]
hertzlichen		[]
wunsche		[]
daß		[]
wie		[]
gott		[]
der		[]
herr		[]
die		[]
vielfältigen		[]
feuersbrunsten		[]
aus		[]
heiligen		[]
und		[]
gerechten		[]
vrsachen		[]
hat		[]
kommen		[]
lassen		[]
über		[]
diese		[]
stadt		[]
also		[]
wolle		[]
er		[]
auch		[]
hinwieder		[]
alles		[]
gutes		[]
kommen		[]
lassen		[]
über		[]
sie		[]
und		[]
jhr		[]
ins		[]
künfftige		[]
gnädig		[]
seyn		[]
diese		[]
orgelpredigt		[]
jhr		[]
verordneter		[]
seelsorger		[]
und		[]
vorbitter		[]
bey		[]
gott		[]
m		[]
david		[]
grafunder		[]
hosianna		[]
ô		[]
herr		[]
hilff		[]
ô		[]
herr		[]
las		[]
wohl		[]
gelingen		[]
wünschet	 bibel	['Ps_122-6.7.8.9']
jerusalem	 bibel	['Ps_122-6.7.8.9']
glück	 bibel	['Ps_122-6.7.8.9']
es	 bibel	['Ps_122-6.7.8.9']
müsse	 bibel	['Ps_122-6.7.8.9']
wohl	 bibel	['Ps_122-6.7.8.9']
gehen	 bibel	['Ps_122-6.7.8.9']
denen	 bibel	['Ps_122-6.7.8.9']
die	 bibel	['Ps_122-6.7.8.9']
dich	 bibel	['Ps_122-6.7.8.9']
lieben	 bibel	['Ps_122-6.7.8.9']
es	 bibel	['Ps_122-6.7.8.9']
müsse	 bibel	['Ps_122-6.7.8.9']
friede	 bibel	['Ps_122-6.7.8.9']
seyn	 bibel	['Ps_122-6.7.8.9']
inwendig	 bibel	['Ps_122-6.7.8.9']
deinen	 bibel	['Ps_122-6.7.8.9']
mauren	 bibel	['Ps_122-6.7.8.9']
und	 bibel	['Ps_122-6.7.8.9']
glück	 bibel	['Ps_122-6.7.8.9']
in	 bibel	['Ps_122-6.7.8.9']
deinen	 bibel	['Ps_122-6.7.8.9']
pallästen	 bibel	['Ps_122-6.7.8.9']
um	 bibel	['Ps_122-6.7.8.9']
meiner	 bibel	['Ps_122-6.7.8.9']
brüder	 bibel	['Ps_122-6.7.8.9']
und	 bibel	['Ps_122-6.7.8.9']
freunde	 bibel	['Ps_122-6.7.8.9']
willen	 bibel	['Ps_122-6.7.8.9']
will	 bibel	['Ps_122-6.7.8.9']
ich	 bibel	['Ps_122-6.7.8.9']
dir	 bibel	['Ps_122-6.7.8.9']
frieden	 bibel	['Ps_122-6.7.8.9']
wünschen	 bibel	['Ps_122-6.7.8.9']
umb	 bibel	['Ps_122-6.7.8.9']
des	 bibel	['Ps_122-6.7.8.9']
hauses	 bibel	['Ps_122-6.7.8.9']
des	 bibel	['Ps_122-6.7.8.9']
herrn	 bibel	['Ps_122-6.7.8.9']
willen	 bibel	['Ps_122-6.7.8.9']
unsers	 bibel	['Ps_122-6.7.8.9']
gottes	 bibel	['Ps_122-6.7.8.9']
will	 bibel	['Ps_122-6.7.8.9']
ich	 bibel	['Ps_122-6.7.8.9']
dein	 bibel	['Ps_122-6.7.8.9']
bestes	 bibel	['Ps_122-6.7.8.9']
suchen	 bibel	['Ps_122-6.7.8.9']
also		[]
fahe		[]
ich		[]
an		[]
und		[]
also		[]
sage		[]
ich		[]
im		[]
nahmen		[]
